ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,7/12/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,10
Democratic,7/12/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/13/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/13/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/14/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/14/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/15/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/15/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/16/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/16/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/17/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/17/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/18/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/18/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/19/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/19/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/20/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/20/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/21/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/21/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/22/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,250
Democratic,7/22/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/23/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/23/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/24/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/24/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/25/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/25/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/26/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/26/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/27/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/27/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/28/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,100
Democratic,7/28/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/29/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/29/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,7/30/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/30/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,3
Republican,7/31/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,7/31/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,8/1/2020 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1
Democratic,8/1/2020 12:00:00 AM,$0.98,$0.99,$0.98,$0.99,1
Republican,8/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Democratic,8/2/2020 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,0
Republican,8/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Democratic,8/3/2020 12:00:00 AM,$0.99,$0.99,$0.98,$0.98,850
Republican,8/4/2020 12:00:00 AM,$0.01,$0.03,$0.01,$0.03,1103
Democratic,8/4/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,1038
Republican,8/5/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1
Democratic,8/5/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,8/6/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,8/6/2020 12:00:00 AM,$0.98,$0.98,$0.97,$0.97,1
Republican,8/7/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,8/7/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/8/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,8/8/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/9/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,8/9/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/10/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,8
Democratic,8/10/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/11/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,8/11/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.98,100
Republican,8/12/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1
Democratic,8/12/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,8/13/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,8/13/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,8/14/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.03,670
Democratic,8/14/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,8/15/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,8/15/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,1
Republican,8/16/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,447
Democratic,8/16/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,518
Republican,8/17/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,8/17/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,8/18/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Democratic,8/18/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,8/19/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,1
Democratic,8/19/2020 12:00:00 AM,$0.98,$0.98,$0.97,$0.97,1
Republican,8/20/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,100
Democratic,8/20/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.97,7
Republican,8/21/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,1000
Democratic,8/21/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/22/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,8/22/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Republican,8/23/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,8/23/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.98,1
Republican,8/24/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,50
Democratic,8/24/2020 12:00:00 AM,$0.98,$0.98,$0.97,$0.98,53
Republican,8/25/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,1
Democratic,8/25/2020 12:00:00 AM,$0.98,$0.98,$0.97,$0.97,125
Republican,8/26/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,1893
Democratic,8/26/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.98,1010
Republican,8/27/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,183
Democratic,8/27/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,8/28/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,200
Democratic,8/28/2020 12:00:00 AM,$0.98,$0.98,$0.97,$0.97,275
Republican,8/29/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,225
Democratic,8/29/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,1
Republican,8/30/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.03,104
Democratic,8/30/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.98,105
Republican,8/31/2020 12:00:00 AM,$0.03,$0.04,$0.02,$0.02,6
Democratic,8/31/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,9/1/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,50
Democratic,9/1/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,94
Republican,9/2/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,9/2/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,9/3/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,100
Democratic,9/3/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,9/4/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,9/4/2020 12:00:00 AM,$0.98,$0.98,$0.97,$0.97,101
Republican,9/5/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,55
Democratic,9/5/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.97,2845
Republican,9/6/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,8
Democratic,9/6/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.97,11
Republican,9/7/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.03,218
Democratic,9/7/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.98,234
Republican,9/8/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1
Democratic,9/8/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,9/9/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,9/9/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,9/10/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,9/10/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,2
Republican,9/11/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,9/11/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,9/12/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,9/12/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,9/13/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Democratic,9/13/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,9/14/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,324
Democratic,9/14/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,9/15/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1
Democratic,9/15/2020 12:00:00 AM,$0.98,$0.98,$0.98,$0.98,0
Republican,9/16/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,136
Democratic,9/16/2020 12:00:00 AM,$0.98,$0.98,$0.97,$0.97,550
Republican,9/17/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,77
Democratic,9/17/2020 12:00:00 AM,$0.97,$0.98,$0.97,$0.98,20
Republican,9/18/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,101
